Location,SKU,Type,ServiceLevel,BaseStockLevel
CDC01,SKU001,FG,97.63,8124.0
CDC01,SKU002,FG,99.78,13607.0
CDC01,SKU003,FG,90.59,9909.0
CDC01,SKU004,FG,93.14,20113.0
CDC01,SKU005,FG,100.0,11234.0
CDC01,SKU006,FG,99.85,14169.0
CDC01,SKU008,FG,99.48,10586.0
CDC01,SKU009,FG,99.85,19266.0
CDC01,SKU010,FG,36.57,22735.0
CDC01,SKU011,FG,100.0,10977.0
CDC01,SKU012,FG,66.43,23771.0
CDC01,SKU013,FG,94.67,16878.0
CDC01,SKU014,FG,99.78,9502.0
CDC01,SKU015,FG,99.56,9683.0
CDC01,SKU016,FG,99.93,11264.0
CDC01,SKU017,FG,99.63,11535.0
CDC01,SKU018,FG,88.86,11277.0
CDC01,SKU019,FG,84.14,24334.0
CDC01,SKU020,FG,86.0,20533.0
CDC01,SKU021,FG,11.14,19495.0
CDC01,SKU022,FG,99.85,11765.0
CDC01,SKU023,FG,99.56,10900.0
CDC01,SKU024,FG,36.57,19522.0
CDC01,SKU025,FG,10.29,20763.0
CDC01,SKU026,FG,100.0,12881.0
CDC01,SKU027,FG,99.85,14040.0
CDC01,SKU028,FG,76.29,16951.0
CDC01,SKU029,FG,100.0,10051.0
CDC01,SKU030,FG,12.14,23756.0
CDC01,SKU031,FG,99.11,15491.0
CDC01,SKU032,FG,95.11,17027.0
CDC01,SKU033,FG,99.78,12673.0
CDC01,SKU034,FG,99.93,10919.0
CDC01,SKU035,FG,25.71,17274.0
CDC01,SKU036,FG,77.43,20813.0
CDC01,SKU037,FG,10.29,22466.0
CDC01,SKU038,FG,35.0,25419.0
CDC01,SKU039,FG,76.86,23437.0
CDC01,SKU040,FG,94.81,15218.0
CDC01,SKU041,FG,95.33,14359.0
CDC01,SKU042,FG,99.04,12769.0
CDC01,SKU043,FG,99.93,14585.0
CDC01,SKU044,FG,56.29,17245.0
CDC01,SKU045,FG,29.43,18638.0
CDC01,SKU047,FG,90.14,19969.0
CDC01,SKU048,FG,78.29,20161.0
CDC01,SKU050,FG,90.71,17302.0
CDC01,SKU051,FG,82.29,24241.0
CDC01,SKU052,FG,14.0,18145.0
CDC01,SKU053,FG,100.0,8759.0
CDC01,SKU054,FG,71.86,24505.0
CDC01,SKU055,FG,94.59,13942.0
CDC01,SKU056,FG,100.0,8495.0
CDC01,SKU057,FG,95.11,12289.0
CDC01,SKU058,FG,99.26,14283.0
CDC01,SKU059,FG,74.43,15873.0
CDC01,SKU060,FG,76.29,13071.0
CDC01,SKU061,FG,86.43,20984.0
CDC01,SKU062,FG,99.85,16082.0
CDC01,SKU063,FG,68.71,17253.0
CDC01,SKU064,FG,99.41,16533.0
CDC01,SKU065,FG,66.0,18450.0
CDC01,SKU067,FG,65.14,17609.0
CDC01,SKU068,FG,99.56,14249.0
CDC01,SKU069,FG,98.37,17872.0
CDC01,SKU070,FG,11.71,23846.0
CDC01,SKU071,FG,77.0,19861.0
CDC01,SKU072,FG,98.74,16395.0
CDC01,SKU073,FG,99.56,14757.0
CDC01,SKU074,FG,65.14,20126.0
CDC01,SKU075,FG,99.48,14187.0
CDC01,SKU076,FG,99.41,11155.0
CDC01,SKU077,FG,65.57,22761.0
CDC01,SKU078,FG,81.43,13996.0
CDC01,SKU079,FG,99.85,15746.0
CDC01,SKU080,FG,99.93,13623.0
CDC01,SKU081,FG,77.71,23432.0
CDC01,SKU082,FG,56.86,23685.0
CDC01,SKU083,FG,99.93,10879.0
CDC01,SKU084,FG,99.85,13182.0
CDC01,SKU085,FG,88.37,13290.0
CDC01,SKU086,FG,43.86,16674.0
CDC01,SKU087,FG,99.7,16459.0
CDC01,SKU088,FG,99.33,15705.0
CDC01,SKU089,FG,30.43,23526.0
CDC01,SKU090,FG,100.0,12367.0
CDC01,SKU091,FG,98.81,11424.0
CDC01,SKU092,FG,99.78,9958.0
CDC01,SKU093,FG,98.59,12081.0
CDC01,SKU094,FG,72.57,12830.0
CDC01,SKU095,FG,81.43,25489.0
CDC01,SKU096,FG,99.93,12363.0
CDC01,SKU097,FG,99.56,12930.0
CDC01,SKU098,FG,15.71,22509.0
CDC01,SKU099,FG,99.78,18464.0
CDC01,SKU100,FG,86.57,16034.0
CDC02,SKU001,FG,61.0,20764.0
CDC02,SKU002,FG,99.56,11779.0
CDC02,SKU003,FG,9.86,14847.0
CDC02,SKU005,FG,99.93,15249.0
CDC02,SKU006,FG,99.85,11812.0
CDC02,SKU007,FG,99.93,13214.0
CDC02,SKU008,FG,98.96,16709.0
CDC02,SKU009,FG,99.41,12317.0
CDC02,SKU010,FG,32.86,24427.0
CDC02,SKU012,FG,74.86,18532.0
CDC02,SKU013,FG,96.44,12200.0
CDC02,SKU014,FG,99.93,11144.0
CDC02,SKU015,FG,75.14,24918.0
CDC02,SKU016,FG,100.0,9966.0
CDC02,SKU017,FG,84.71,20540.0
CDC02,SKU018,FG,99.93,11961.0
CDC02,SKU019,FG,79.57,23350.0
CDC02,SKU020,FG,99.63,12483.0
CDC02,SKU021,FG,96.0,14188.0
CDC02,SKU022,FG,99.7,11600.0
CDC02,SKU023,FG,81.14,20686.0
CDC02,SKU024,FG,41.29,17791.0
CDC02,SKU025,FG,75.26,11923.0
CDC02,SKU026,FG,99.93,10059.0
CDC02,SKU027,FG,100.0,12992.0
CDC02,SKU028,FG,77.43,24203.0
CDC02,SKU030,FG,97.33,17335.0
CDC02,SKU031,FG,99.85,11174.0
CDC02,SKU032,FG,67.0,14837.0
CDC02,SKU033,FG,82.86,13306.0
CDC02,SKU034,FG,81.57,24541.0
CDC02,SKU035,FG,20.43,21863.0
CDC02,SKU036,FG,78.14,15205.0
CDC02,SKU037,FG,70.74,13244.0
CDC02,SKU038,FG,99.78,9721.0
CDC02,SKU039,FG,76.29,18468.0
CDC02,SKU040,FG,95.56,18010.0
CDC02,SKU042,FG,99.78,7438.0
CDC02,SKU043,FG,88.86,13756.0
CDC02,SKU044,FG,98.15,14768.0
CDC02,SKU045,FG,29.14,21070.0
CDC02,SKU046,FG,81.57,21016.0
CDC02,SKU048,FG,99.78,8249.0
CDC02,SKU049,FG,100.0,14231.0
CDC02,SKU051,FG,99.7,11429.0
CDC02,SKU052,FG,88.74,19372.0
CDC02,SKU053,FG,100.0,11637.0
CDC02,SKU054,FG,99.63,13671.0
CDC02,SKU056,FG,99.93,11469.0
CDC02,SKU057,FG,94.44,13931.0
CDC02,SKU058,FG,99.56,10773.0
CDC02,SKU059,FG,65.29,26471.0
CDC02,SKU060,FG,78.29,13733.0
CDC02,SKU061,FG,99.85,9646.0
CDC02,SKU062,FG,85.71,20156.0
CDC02,SKU063,FG,65.86,18518.0
CDC02,SKU064,FG,81.0,14371.0
CDC02,SKU065,FG,98.3,13543.0
